kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov
117108,Jaya Baru,1171,Kota Banda Aceh,11,Aceh
117109,Ulee Kareng,1171,Kota Banda Aceh,11,Aceh
117201,Sukakarya,1172,Kota Sabang,11,Aceh
117202,Sukajaya,1172,Kota Sabang,11,Aceh
117203,Sukamakmue,1172,Kota Sabang,11,Aceh
117301,Muara Dua,1173,Kota Lhokseumawe,11,Aceh
117302,Banda Sakti,1173,Kota Lhokseumawe,11,Aceh
117303,Blang Mangat,1173,Kota Lhokseumawe,11,Aceh
117304,Muara Satu,1173,Kota Lhokseumawe,11,Aceh
117401,Langsa Timur,1174,Kota Langsa,11,Aceh
117402,Langsa Barat,1174,Kota Langsa,11,Aceh
117403,Langsa Kota,1174,Kota Langsa,11,Aceh
117404,Langsa Lama,1174,Kota Langsa,11,Aceh
117405,Langsa Baro,1174,Kota Langsa,11,Aceh
117501,Simpang Kiri,1175,Kota Subulussalam,11,Aceh
117502,Penanggalan,1175,Kota Subulussalam,11,Aceh
117503,Rundeng,1175,Kota Subulussalam,11,Aceh
117504,Sultan Daulat,1175,Kota Subulussalam,11,Aceh
117505,Longkib,1175,Kota Subulussalam,11,Aceh
120101,Barus,1201,Kabupaten Tapanuli Tengah,12,Sumatera Utara
120102,Sorkam,1201,Kabupaten Tapanuli Tengah,12,Sumatera Utara
120103,Pandan,1201,Kabupaten Tapanuli Tengah,12,Sumatera Utara
120104,Pinangsori,1201,Kabupaten Tapanuli Tengah,12,Sumatera Utara
120105,Manduamas,1201,Kabupaten Tapanuli Tengah,12,Sumatera Utara
120106,Kolang,1201,Kabupaten Tapanuli Tengah,12,Sumatera Utara
120107,Tapian Nauli,1201,Kabupaten Tapanuli Tengah,12,Sumatera Utara
120108,Sibabangun,1201,Kabupaten Tapanuli Tengah,12,Sumatera Utara
120109,Sosorgadong,1201,Kabupaten Tapanuli Tengah,12,Sumatera Utara
120110,Sorkam Barat,1201,Kabupaten Tapanuli Tengah,12,Sumatera Utara
120111,Sirandorung,1201,Kabupaten Tapanuli Tengah,12,Sumatera Utara
120112,Andam Dewi,1201,Kabupaten Tapanuli Tengah,12,Sumatera Utara
120113,Sitahuis,1201,Kabupaten Tapanuli Tengah,12,Sumatera Utara
120114,Tukka,1201,Kabupaten Tapanuli Tengah,12,Sumatera Utara
120115,Badiri,1201,Kabupaten Tapanuli Tengah,12,Sumatera Utara
120116,Pasaribu Tobing,1201,Kabupaten Tapanuli Tengah,12,Sumatera Utara
120117,Barus Utara,1201,Kabupaten Tapanuli Tengah,12,Sumatera Utara
120118,Suka Bangun,1201,Kabupaten Tapanuli Tengah,12,Sumatera Utara
120119,Lumut,1201,Kabupaten Tapanuli Tengah,12,Sumatera Utara
120120,Sarudik,1201,Kabupaten Tapanuli Tengah,12,Sumatera Utara
120201,Tarutung,1202,Kabupaten Tapanuli Utara,12,Sumatera Utara
120202,Siatas Barita,1202,Kabupaten Tapanuli Utara,12,Sumatera Utara
120203,Adiankoting,1202,Kabupaten Tapanuli Utara,12,Sumatera Utara
120204,Sipoholon,1202,Kabupaten Tapanuli Utara,12,Sumatera Utara
120205,Pahae Julu,1202,Kabupaten Tapanuli Utara,12,Sumatera Utara
120206,Pahae Jae,1202,Kabupaten Tapanuli Utara,12,Sumatera Utara
120207,Simangumban,1202,Kabupaten Tapanuli Utara,12,Sumatera Utara
120208,Purbatua,1202,Kabupaten Tapanuli Utara,12,Sumatera Utara
120209,Siborongborong,1202,Kabupaten Tapanuli Utara,12,Sumatera Utara
120210,Pagaran,1202,Kabupaten Tapanuli Utara,12,Sumatera Utara
120211,Parmonangan,1202,Kabupaten Tapanuli Utara,12,Sumatera Utara
120212,Sipahutar,1202,Kabupaten Tapanuli Utara,12,Sumatera Utara
120213,Pangaribuan,1202,Kabupaten Tapanuli Utara,12,Sumatera Utara
120214,Garoga,1202,Kabupaten Tapanuli Utara,12,Sumatera Utara
120215,Muara,1202,Kabupaten Tapanuli Utara,12,Sumatera Utara
120301,Angkola Barat,1203,Kabupaten Tapanuli Selatan,12,Sumatera Utara
120302,Batang Toru,1203,Kabupaten Tapanuli Selatan,12,Sumatera Utara
120303,Angkola Timur,1203,Kabupaten Tapanuli Selatan,12,Sumatera Utara
120304,Sipirok,1203,Kabupaten Tapanuli Selatan,12,Sumatera Utara
120305,Saipar Dolok Hole,1203,Kabupaten Tapanuli Selatan,12,Sumatera Utara
120306,Angkola Selatan,1203,Kabupaten Tapanuli Selatan,12,Sumatera Utara
120307,Batang Angkola,1203,Kabupaten Tapanuli Selatan,12,Sumatera Utara
120314,Arse,1203,Kabupaten Tapanuli Selatan,12,Sumatera Utara
120320,Marancar,1203,Kabupaten Tapanuli Selatan,12,Sumatera Utara
120321,Sayur Matinggi,1203,Kabupaten Tapanuli Selatan,12,Sumatera Utara
120322,Aek Bilah,1203,Kabupaten Tapanuli Selatan,12,Sumatera Utara
120329,Muara Batang Toru,1203,Kabupaten Tapanuli Selatan,12,Sumatera Utara
120330,Tano Tombangan Angkola,1203,Kabupaten Tapanuli Selatan,12,Sumatera Utara
120331,Angkola Sangkunur,1203,Kabupaten Tapanuli Selatan,12,Sumatera Utara
120332,Angkola Muara Tais,1203,Kabupaten Tapanuli Selatan,12,Sumatera Utara
120405,Hiliduho,1204,Kabupaten Nias,12,Sumatera Utara
120406,Gido,1204,Kabupaten Nias,12,Sumatera Utara
120410,Idanogawo,1204,Kabupaten Nias,12,Sumatera Utara
120411,Bawolato,1204,Kabupaten Nias,12,Sumatera Utara
120420,Hiliserangkai,1204,Kabupaten Nias,12,Sumatera Utara
120421,Botomuzoi,1204,Kabupaten Nias,12,Sumatera Utara
120427,Ulugawo,1204,Kabupaten Nias,12,Sumatera Utara
120428,Ma'u,1204,Kabupaten Nias,12,Sumatera Utara
120429,Somolo-molo,1204,Kabupaten Nias,12,Sumatera Utara
120435,Sogae'adu,1204,Kabupaten Nias,12,Sumatera Utara
120501,Bahorok,1205,Kabupaten Langkat,12,Sumatera Utara
120502,Salapian,1205,Kabupaten Langkat,12,Sumatera Utara
120503,Kuala,1205,Kabupaten Langkat,12,Sumatera Utara
120504,Sei Bingai,1205,Kabupaten Langkat,12,Sumatera Utara
120505,Binjai,1205,Kabupaten Langkat,12,Sumatera Utara
120506,Selesai,1205,Kabupaten Langkat,12,Sumatera Utara
