kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov,votes_jokowi,votes_prabowo,suara_sah,suara_tidak_sah,suara_total,kp_kec_names
110804,Lhoksukon,1108,Kabupaten Aceh Utara,11,Aceh,2553,21096,23660,752,24345,LHOKSUKON
110805,Matangkuli,1108,Kabupaten Aceh Utara,11,Aceh,889,8909,9770,214,9894,MATANGKULI
110806,Muara Batu,1108,Kabupaten Aceh Utara,11,Aceh,685,13912,14491,575,15238,MUARA BATU
110807,Meurah Mulia,1108,Kabupaten Aceh Utara,11,Aceh,966,10342,11307,446,11754,MEURAH MULIA
110808,Samudera,1108,Kabupaten Aceh Utara,11,Aceh,1007,13297,14135,604,14754,SAMUDERA
110809,Seunuddon,1108,Kabupaten Aceh Utara,11,Aceh,707,12730,13437,355,13790,SEUNUDDON
110810,Syamtalira Aron,1108,Kabupaten Aceh Utara,11,Aceh,726,9435,10161,260,10421,SYAMTALIRA ARON
110811,Syamtalira Bayu,1108,Kabupaten Aceh Utara,11,Aceh,698,10100,10812,436,11055,SYAMTALIRA BAYU
110812,Tanah Luas,1108,Kabupaten Aceh Utara,11,Aceh,1044,12636,13418,461,13978,TANAH LUAS
110813,Tanah Pasir,1108,Kabupaten Aceh Utara,11,Aceh,361,4570,4931,158,5089,TANAH PASIR
110814,Tanah Jambo Aye,1108,Kabupaten Aceh Utara,11,Aceh,1566,20195,21396,988,22410,TANAH JAMBO AYE
110815,Sawang,1108,Kabupaten Aceh Utara,11,Aceh,1006,17614,18620,534,19193,SAWANG
110816,Nisam,1108,Kabupaten Aceh Utara,11,Aceh,550,10833,11383,369,11663,NISAM
110817,Cot Girek,1108,Kabupaten Aceh Utara,11,Aceh,1115,9215,9984,563,10622,COT GIREK
110818,Langkahan,1108,Kabupaten Aceh Utara,11,Aceh,1676,9058,10687,471,10934,LANGKAHAN
110819,Baktiya Barat,1108,Kabupaten Aceh Utara,11,Aceh,582,8937,9524,227,9749,BAKTIYA BARAT
