kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov,votes_anies,votes_prabowo,votes_ganjar,suara_sah,suara_tidak_sah,jumlah_tps,tps_dengan_data,tps_coverage_pct
110207,Darul Hasanah,1102,Kabupaten Aceh Tenggara,11,Aceh,3524,2918,70,4207,58,48,31,64.6
110208,Lawe Bulan,1102,Kabupaten Aceh Tenggara,11,Aceh,4506,3273,357,1165,15,51,44,86.3
110209,Bukit Tusam,1102,Kabupaten Aceh Tenggara,11,Aceh,3345,1780,80,3714,44,38,29,76.3
110210,Semadam,1102,Kabupaten Aceh Tenggara,11,Aceh,2495,3213,451,2808,555,40,30,75.0
110211,Babul Rahmah,1102,Kabupaten Aceh Tenggara,11,Aceh,1570,1803,475,2702,36,34,23,67.6
110212,Ketambe,1102,Kabupaten Aceh Tenggara,11,Aceh,3404,2111,87,5413,38,38,31,81.6
110213,Deleng Pokhkisen,1102,Kabupaten Aceh Tenggara,11,Aceh,1773,1983,197,3010,56,29,21,72.4
110214,Lawe Sumur,1102,Kabupaten Aceh Tenggara,11,Aceh,1827,1361,62,2369,102,28,18,64.3
110215,Tanoh Alas,1102,Kabupaten Aceh Tenggara,11,Aceh,1751,625,25,2069,12,15,12,80.0
110216,Leuser,1102,Kabupaten Aceh Tenggara,11,Aceh,925,1688,367,2980,64,28,19,67.9
110301,Darul Aman,1103,Kabupaten Aceh Timur,11,Aceh,4751,255,52,4109,85,67,29,43.3
110302,Julok,1103,Kabupaten Aceh Timur,11,Aceh,2066,183,31,602,21,82,14,17.1
110303,Idi Rayeuk,1103,Kabupaten Aceh Timur,11,Aceh,3116,355,43,1765,46,112,19,17.0
