kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov,votes_jokowi,votes_prabowo,suara_sah,suara_tidak_sah,suara_total
110819,Baktiya Barat,1108,Kabupaten Aceh Utara,11,Aceh,582,8937,9524,227,9749
110820,Paya Bakong,1108,Kabupaten Aceh Utara,11,Aceh,898,6251,7149,209,7631
110821,Nibong,1108,Kabupaten Aceh Utara,11,Aceh,329,5833,6163,144,6305
110822,Simpang Keuramat,1108,Kabupaten Aceh Utara,11,Aceh,598,5354,5951,238,6357
110823,Lapang,1108,Kabupaten Aceh Utara,11,Aceh,288,4309,4611,221,4814
110824,Pirak Timu,1108,Kabupaten Aceh Utara,11,Aceh,469,3596,4065,160,4391
110825,Geureudong Pase,1108,Kabupaten Aceh Utara,11,Aceh,245,2521,2771,73,2839
110826,Banda Baro,1108,Kabupaten Aceh Utara,11,Aceh,233,4314,4547,244,4805
110827,Nisam Antara,1108,Kabupaten Aceh Utara,11,Aceh,397,6369,6766,238,7006
110901,Simeulue Tengah,1109,Kabupaten Simeulue,11,Aceh,793,1331,2124,16,2135
110902,Salang,1109,Kabupaten Simeulue,11,Aceh,1684,2666,4351,23,4374
110903,Teupah Barat,1109,Kabupaten Simeulue,11,Aceh,2095,2233,4328,90,4418
110904,Simeulue Timur,1109,Kabupaten Simeulue,11,Aceh,3514,9319,12879,250,13054
110905,Teluk Dalam,1109,Kabupaten Simeulue,11,Aceh,1527,1256,2783,32,2815
110906,Simeulue Barat,1109,Kabupaten Simeulue,11,Aceh,2127,3612,5866,41,5907
110907,Teupah Selatan,1109,Kabupaten Simeulue,11,Aceh,2303,2650,4953,58,5011
110908,Alafan,1109,Kabupaten Simeulue,11,Aceh,1209,1416,2625,24,2649
110909,Teupah Tengah,1109,Kabupaten Simeulue,11,Aceh,1319,1856,2995,249,3251
110910,Simeulue Cut,1109,Kabupaten Simeulue,11,Aceh,520,1382,1902,16,1926
111001,Pulau Banyak,1110,Kabupaten Aceh Singkil,11,Aceh,426,1816,2242,85,2327
111002,Simpang Kanan,1110,Kabupaten Aceh Singkil,11,Aceh,3113,5579,8692,234,8927
111004,Singkil,1110,Kabupaten Aceh Singkil,11,Aceh,1578,9110,10515,424,10954
111006,Gunung Meriah,1110,Kabupaten Aceh Singkil,11,Aceh,5051,16291,21339,550,21628
111009,Kota Baharu,1110,Kabupaten Aceh Singkil,11,Aceh,843,2731,3586,179,3753
111010,Singkil Utara,1110,Kabupaten Aceh Singkil,11,Aceh,1463,4021,5488,158,5645
111011,Danau Paris,1110,Kabupaten Aceh Singkil,11,Aceh,2042,1301,3343,188,3533
111012,Suro Makmur,1110,Kabupaten Aceh Singkil,11,Aceh,1620,2937,4557,132,4689
111013,Singkohor,1110,Kabupaten Aceh Singkil,11,Aceh,1330,2536,3866,86,3951
111014,Kuala Baru,1110,Kabupaten Aceh Singkil,11,Aceh,162,1339,1501,58,1559
