id,kodam,kodam_address,kodam_lat,kodam_lng,korem,korem_address,korem_lat,korem_lng,kodim,kodim_address,kodim_lat,kodim_lng,kecamatan,kabupaten_kota,kecamatan_lat,kecamatan_lng
62,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 072/Pamungkas,"Markas Korem 072/Pamungkas, Yogyakarta",-7.7983069,110.3637313,Kodim 0707/Wonosobo,"Makodim Kodim 0707/Wonosobo, Wonosobo",-7.3579992,109.9019801,Wonosobo,Kabupaten Wonosobo,-7.3579992,109.9019801
63,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 072/Pamungkas,"Markas Korem 072/Pamungkas, Yogyakarta",-7.7983069,110.3637313,Kodim 0708/Purworejo,"Makodim Kodim 0708/Purworejo, Purworejo",-7.7156548,110.0095367,Purworejo,Kabupaten Purworejo,-7.7156548,110.0095367
64,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 072/Pamungkas,"Markas Korem 072/Pamungkas, Yogyakarta",-7.7983069,110.3637313,Kodim 0709/Kebumen,"Makodim Kodim 0709/Kebumen, Kebumen",-7.6968674,109.6807288,Kebumen,Kabupaten Kebumen,-7.6968674,109.6807288
65,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 072/Pamungkas,"Markas Korem 072/Pamungkas, Yogyakarta",-7.7983069,110.3637313,Kodim 0729/Bantul,"Makodim Kodim 0729/Bantul, Bantul",-7.8804952,110.3346881,Bantul,Kabupaten Bantul,-7.8804952,110.3346881
66,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 072/Pamungkas,"Markas Korem 072/Pamungkas, Yogyakarta",-7.7983069,110.3637313,Kodim 0730/Gunung Kidul,"Makodim Kodim 0730/Gunung Kidul, Gunung Kidul",-7.9637685,110.6063559,Wonosari,Kabupaten Gunungkidul,-7.9637685,110.6063559
67,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 072/Pamungkas,"Markas Korem 072/Pamungkas, Yogyakarta",-7.7983069,110.3637313,Kodim 0731/Kulon Progo,"Makodim Kodim 0731/Kulon Progo, Kulon Progo",-7.8570688,110.1577556,Wates,Kabupaten Kulon Progo,-7.8570688,110.1577556
68,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 072/Pamungkas,"Markas Korem 072/Pamungkas, Yogyakarta",-7.7983069,110.3637313,Kodim 0732/Sleman,"Makodim Kodim 0732/Sleman, Sleman",-7.6828865,110.3399671,Sleman,Kabupaten Sleman,-7.6828865,110.3399671
69,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 072/Pamungkas,"Markas Korem 072/Pamungkas, Yogyakarta",-7.7983069,110.3637313,Kodim 0734/Yogyakarta,"Makodim Kodim 0734/Yogyakarta, Yogyakarta",-7.774612,110.3676874,Jetis,Kota Yogyakarta,-7.774612,110.3676874
70,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 073/Makutarama,"Markas Korem 073/Makutarama, Salatiga",-7.3227218,110.5018182,Kodim 0714/Salatiga,"Makodim Kodim 0714/Salatiga, Salatiga",-7.3224239,110.500573,Sidorejo,Kota Salatiga,-7.3224239,110.500573
71,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 073/Makutarama,"Markas Korem 073/Makutarama, Salatiga",-7.3227218,110.5018182,Kodim 0715/Kendal,"Makodim Kodim 0715/Kendal, Kendal",-6.9205428,110.1969756,Kendal,Kabupaten Kendal,-6.9205428,110.1969756
