kodim_id,korem_id,kodam_id,kodam,korem,name,address,lat,lng,kecamatan,kabupaten_kota,kecamatan_lat,kecamatan_lng
KODIM-068,KOREM-014,KODAM-04,Kodam IV/Diponegoro,Korem 072/Pamungkas,Kodim 0732/Sleman,"Makodim Kodim 0732/Sleman, Sleman",-7.6828865,110.3399671,Sleman,Kabupaten Sleman,-7.6828865,110.3399671
KODIM-069,KOREM-014,KODAM-04,Kodam IV/Diponegoro,Korem 072/Pamungkas,Kodim 0734/Yogyakarta,"Makodim Kodim 0734/Yogyakarta, Yogyakarta",-7.774612,110.3676874,Jetis,Kota Yogyakarta,-7.774612,110.3676874
KODIM-070,KOREM-015,KODAM-04,Kodam IV/Diponegoro,Korem 073/Makutarama,Kodim 0714/Salatiga,"Makodim Kodim 0714/Salatiga, Salatiga",-7.3224239,110.500573,Sidorejo,Kota Salatiga,-7.3224239,110.500573
KODIM-071,KOREM-015,KODAM-04,Kodam IV/Diponegoro,Korem 073/Makutarama,Kodim 0715/Kendal,"Makodim Kodim 0715/Kendal, Kendal",-6.9205428,110.1969756,Kendal,Kabupaten Kendal,-6.9205428,110.1969756
KODIM-072,KOREM-015,KODAM-04,Kodam IV/Diponegoro,Korem 073/Makutarama,Kodim 0716/Demak,"Makodim Kodim 0716/Demak, Demak",-6.8912244,110.6400657,Demak,Kabupaten Demak,-6.8912244,110.6400657
KODIM-073,KOREM-015,KODAM-04,Kodam IV/Diponegoro,Korem 073/Makutarama,Kodim 0717/Grobogan,"Makodim Kodim 0717/Grobogan, Grobogan",-7.0797832,110.9158682,Purwodadi,Kabupaten Grobogan,-7.0797832,110.9158682
KODIM-074,KOREM-015,KODAM-04,Kodam IV/Diponegoro,Korem 073/Makutarama,Kodim 0718/Pati,"Makodim Kodim 0718/Pati, Pati",-6.7513005,111.0337842,Pati,Kabupaten Pati,-6.7513005,111.0337842
KODIM-075,KOREM-015,KODAM-04,Kodam IV/Diponegoro,Korem 073/Makutarama,Kodim 0719/Jepara,"Makodim Kodim 0719/Jepara, Jepara",-6.5888255,110.6667205,Jepara,Kabupaten Jepara,-6.5888255,110.6667205
KODIM-076,KOREM-015,KODAM-04,Kodam IV/Diponegoro,Korem 073/Makutarama,Kodim 0720/Rembang,"Makodim Kodim 0720/Rembang, Rembang",-6.7044283,111.3413458,Rembang,Kabupaten Rembang,-6.7044283,111.3413458
KODIM-077,KOREM-015,KODAM-04,Kodam IV/Diponegoro,Korem 073/Makutarama,Kodim 0721/Blora,"Makodim Kodim 0721/Blora, Blora",-6.9711673,111.4205496,Blora,Kabupaten Blora,-6.9711673,111.4205496
KODIM-078,KOREM-015,KODAM-04,Kodam IV/Diponegoro,Korem 073/Makutarama,Kodim 0722/Kudus,"Makodim Kodim 0722/Kudus, Kudus",-6.8063661,110.8457365,Kota Kudus,Kabupaten Kudus,-6.8063661,110.8457365
KODIM-079,KOREM-016,KODAM-04,Kodam IV/Diponegoro,Korem 074/Warastratama,Kodim 0723/Klaten,"Makodim Kodim 0723/Klaten, Klaten",-7.7075107,110.5983631,Klaten Tengah,Kabupaten Klaten,-7.7075107,110.5983631
KODIM-080,KOREM-016,KODAM-04,Kodam IV/Diponegoro,Korem 074/Warastratama,Kodim 0724/Boyolali,"Makodim Kodim 0724/Boyolali, Boyolali",-7.5386664,110.6149616,Boyolali,Kabupaten Boyolali,-7.5386664,110.6149616
KODIM-081,KOREM-016,KODAM-04,Kodam IV/Diponegoro,Korem 074/Warastratama,Kodim 0725/Sragen,"Makodim Kodim 0725/Sragen, Sragen",-7.4299763,111.0073775,Sragen,Kabupaten Sragen,-7.4299763,111.0073775
